Year,Crescent City,La Jolla,San Francisco
1900,,,-181.75
1901,,,-193.6666667
1902,,,-161.1666667
1903,,,-173.5833333
1904,,,-143.1666667
1905,,,-137.0833333
1906,,,-157
1907,,,-133.5833333
1908,,,-203.5
1909,,,-173.6666667
1910,,,-207.5
1911,,,-148.1666667
1912,,,-183.9166667
1913,,,-179.5833333
1914,,,-87.5
1915,,,-124.5
1916,,,-175
1917,,,-188.0833333
1918,,,-121.0833333
1919,,,-148
1920,,,-170.75
1921,,,-158.5
1922,,,-167.5833333
1923,,,-175.6666667
1924,,-210,-205.4166667
1925,,-148.0833333,-144.5
1926,,-122.0833333,-141.3333333
1927,,-148.9166667,-151.0833333
1928,,-129.0833333,-158.0833333
1929,,-118.3333333,-167.9166667
1930,,-112.8333333,-114.0833333
1931,,-110.4166667,-144
1932,,-130.75,-128.8333333
1933,-22.66666667,-178.4166667,-175.4166667
1934,19.91666667,-151.1666667,-141.25
1935,30.08333333,-152.8333333,-116.0833333
1936,20.41666667,-134.5,-116
1937,29.66666667,-125,-112.0833333
1938,30.66666667,-138.9166667,-105.4166667
1939,-6.25,-107.1666667,-152
1940,77.25,-99,-70.5
1941,123.5833333,-61.75,-8.833333333
1942,25.58333333,-110.9166667,-102.4166667
1943,35.75,-116.8333333,-99.16666667
1944,26.5,-117.5,-116.1666667
1945,20.16666667,-113.8333333,-118.25
1946,35.5,-104.0833333,-127.25
1947,23.91666667,-110.6666667,-127.5
1948,,-108.75,-113.0833333
1949,,-121.25,-112.1666667
1950,14.41666667,-128.6666667,-111.25
1951,61.75,-83.33333333,-60.41666667
1952,69.33333333,-94.25,-57.91666667
1953,6.833333333,-107.9166667,-113.6666667
1954,39.83333333,,-98
1955,-22.75,-181.75,-127.5
1956,-9,-125.5833333,-105.1666667
1957,34.08333333,-50,-47.91666667
1958,78.91666667,-30.33333333,-2.666666667
1959,2,-26.5,-53.83333333
1960,3.583333333,-100.3333333,-106.0833333
1961,15.25,-112,-94
1962,26.41666667,-119.1666667,-71
1963,43.83333333,-60.25,-46.41666667
1964,-39.41666667,-120.3333333,-98.83333333
1965,57.16666667,-55.5,-32.5
1966,18.41666667,-45.08333333,-51.83333333
1967,5.583333333,-26.75,-42.08333333
1968,15.33333333,-64.66666667,-56.5
1969,30,-38.08333333,-5.333333333
1970,10.75,-69.66666667,-48.08333333
1971,-36.08333333,-96.91666667,-98.75
1972,42.5,-24.83333333,-22.08333333
1973,-1.75,-97.08333333,-59.41666667
1974,-12.5,-71.66666667,-45.58333333
1975,-52.25,-101.1666667,-88.16666667
1976,-18,-37.66666667,-49.16666667
1977,-20.41666667,-60.66666667,-97.5
1978,13.08333333,-39.25,-28
1979,-11.58333333,-44.33333333,-52.58333333
1980,1.75,-36.25,-22.33333333
1981,-5.083333333,-38,-52.41666667
1982,46.66666667,-2.083333333,42.41666667
1983,136.6666667,56.83333333,144.9166667
1984,-0.333333333,3,-0.666666667
1985,-50.75,-38.16666667,-54.5
1986,10.58333333,-20.41666667,11.25
1987,-19,-1.5,-14.08333333
1988,-67.66666667,-40.75,-68.91666667
1989,-37.16666667,-27,-45.58333333
1990,-25.5,19.08333333,-29.66666667
1991,-10.83333333,10.91666667,-35.33333333
1992,76.08333333,56.83333333,48.75
1993,49.25,26.08333333,39.25
1994,-4.666666667,-22.83333333,-39.5
1995,40.75,-10.5,34.91666667
1996,-0.5,-18.41666667,-3.916666667
1997,27,85.66666667,55.58333333
1998,34.33333333,26,61.41666667
1999,-59.41666667,-48,-50.33333333
2000,-42.41666667,-25.41666667,-28
2001,-62.58333333,-29.08333333,-27.58333333
2002,-34.58333333,-22,-12.41666667
2003,-2.583333333,2.333333333,-0.333333333
2004,-13.83333333,23.5,4.333333333
2005,7.083333333,17.66666667,25.58333333
2006,7.5,3.25,51.41666667
2007,-74.25,-25.33333333,-59.5
2008,-59,1.666666667,-22.41666667
2009,-36.08333333,13.16666667,0.166666667
2010,-11.08333333,-9.363636364,11.16666667
2011,-62.5,7.166666667,7.083333333
2012,-33,41.91666667,2.5
2013,-105.4166667,25,-18.16666667
2014,8.5,81.41666667,63.75
2015,13.25,123.1666667,90.66666667
2016,-2.083333333,36.33333333,48.66666667
2017,-3.916666667,28.16666667,80.25
2018,-33.58333333,38,47.5
2019,-2.333333333,34.58333333,96.75
2020,-57.91666667,23.58333333,32.75
2021,-55.58333333,17.41666667,27.91666667
2022,-59.91666667,26.33333333,17.25
2023,13,63.45454545,112.7272727